housenumber,street,x,y
105,Burkhart Street,-135.30258,57.04894
201,Lance Drive,-135.301649,57.048941
203,Lance Drive,-135.301739,57.049203
205,Lance Drive,-135.301713,57.049442
204,Lance Drive,-135.301214,57.049197
141,Price Street,-135.305097,57.048729
151,Price Street,-135.305442,57.048887
103,Burkhart Street,-135.303236,57.048936
101,Burkhart Street,-135.30419,57.048925
1406,Sawmill Creek Road,-135.302582,57.046359
1404,Sawmill Creek Road,-135.303418,57.046307
1402,Sawmill Creek Road,-135.304661,57.046747
100,Lance Drive,-135.30155,57.046964
216,Vitskari Street,-135.299661,57.049223
1511,Sawmill Creek Road,-135.300107,57.047445
1513,Sawmill Creek Road,-135.3001,57.047258
1515,Sawmill Creek Road,-135.299366,57.047719
102,Oceanview Street,-135.3009,57.047263
106,Lance Drive,-135.301219,57.047432
108,Lance Drive,-135.301202,57.047697
110,Lance Drive,-135.301193,57.047958
112,Lance Drive,-135.301191,57.048239
114,Lance Drive,-135.301195,57.048481
108,Oceanview Street,-135.300827,57.047808
114,Oceanview Street,-135.300833,57.048561
110,Oceanview Street,-135.300875,57.048094
1525,Sawmill Creek Road,-135.300442,57.047698
1529,Sawmill Creek Road,-135.300458,57.04817
1527,Sawmill Creek Road,-135.30026,57.047914
106,Oceanview Street,-135.300864,57.047682
611,Merrill Street,-135.329643,57.055444
612,Merrill Street,-135.329695,57.055118
502,Geodetic Way,-135.327683,57.056068
510,Baranof Street,-135.330903,57.055731
602,Geodetic Way,-135.330561,57.055951
621,Merrill Street,-135.328441,57.055268
617,Merrill Street,-135.328818,57.055305
615,Merrill Street,-135.329159,57.05535
613,Merrill Street,-135.329384,57.055369
604,Geodetic Way,-135.330305,57.055894
606,Geodetic Way,-135.330054,57.055831
608,Geodetic Way,-135.329801,57.0557
610,Geodetic Way,-135.329493,57.055689
612,Geodetic Way,-135.329225,57.055593
705,Sawmill Creek Road,-135.326579,57.05443
707,Sawmill Creek Road,-135.326605,57.054594
709,Sawmill Creek Road,-135.326068,57.05447
711,Sawmill Creek Road,-135.32583,57.054457
704,Sawmill Creek Road,-135.32647,57.054109
702,Sawmill Creek Road,-135.326737,57.054179
304,Park Street,-135.327051,57.054083
503,Park Street,-135.327481,57.054754
631,Degroff Street,-135.327388,57.054529
622,Sawmill Creek Road,-135.327739,57.05399
624,Sawmill Creek Road,-135.327502,57.054034
701,Sawmill Creek Road,-135.327119,57.054466
703,Sawmill Creek Road,-135.326875,57.054508
625,Degroff Street,-135.328103,57.054719
620,Degroff Street,-135.328436,57.054391
619,Degroff Street,-135.328855,57.054692
622,Merrill Street,-135.328329,57.055001
620,Merrill Street,-135.328638,57.055035
617,Degroff Street,-135.329087,57.05472
621,Degroff Street,-135.328601,57.054657
623,Degroff Street,-135.32835,57.054628
624,Merrill Street,-135.328005,57.054962
618,Degroff Street,-135.328705,57.05442
626,Merrill Street,-135.327734,57.054931
622,Degroff Street,-135.328194,57.054378
619,Sawmill Creek Road,-135.328392,57.05428
627,Degroff Street,-135.327876,57.054653
629,Degroff Street,-135.327637,57.054578
621,Sawmill Creek Road,-135.328041,57.054265
701,Biorka Street,-135.32725,57.053743
303,Park Street,-135.327682,57.053782
301,Park Street,-135.327867,57.053634
618,Sawmill Creek Road,-135.328213,57.053927
620,Sawmill Creek Road,-135.327983,57.053956
418,Geodetic Way,-135.325866,57.055239
416,Geodetic Way,-135.32547,57.054999
700,Merrill Street,-135.326978,57.054816
704,Geodetic Way,-135.326407,57.054692
623,Merrill Street,-135.328024,57.05523
505,Park Street,-135.327344,57.054882
630,Merrill Street,-135.327336,57.054974
104,Kaasda Heen Circle,-135.31773,57.053668
102,Kaasda Heen Circle,-135.317884,57.053931
115,Sheldon Jackson Drive,-135.321369,57.052133
802,Sawmill Creek Road,-135.322561,57.053588
715,Biorka Street,-135.325369,57.053981
714,Biorka Street,-135.325453,57.05367
711,Biorka Street,-135.32587,57.053951
709,Biorka Street,-135.326093,57.053903
705,Biorka Street,-135.32652,57.05385
703,Biorka Street,-135.32685,57.05391
707,Biorka Street,-135.32629,57.053905
715,Sawmill Creek Road,-135.325309,57.054341
708,Sawmill Creek Road,-135.325962,57.054092
712,Biorka Street,-135.325776,57.053629
713,Biorka Street,-135.325615,57.053954
708,Biorka Street,-135.326267,57.053557
710,Biorka Street,-135.325985,57.053594
203,Jeff Davis Street,-135.324601,57.053177
719,Biorka Street,-135.32512,57.054009
207,Jeff Davis Street,-135.324845,57.053542
205,Jeff Davis Street,-135.324551,57.053335
716,Biorka Street,-135.325216,57.053707
2602,Sawmill Creek Road,-135.259967,57.039325
2514,Sawmill Creek Road,-135.260785,57.039515
2515,Sawmill Creek Road,-135.260311,57.040013
2601,Sawmill Creek Road,-135.259843,57.039772
2603,Sawmill Creek Road,-135.259437,57.039717
2606,Sawmill Creek Road,-135.259478,57.039129
2604,Sawmill Creek Road,-135.259995,57.038507
2609,Sawmill Creek Road,-135.25843,57.039401
2610,Sawmill Creek Road,-135.259575,57.038257
2820,Sawmill Creek Road,-135.256218,57.036089
105,Peace Lane,-135.257687,57.036873
2702,Sawmill Creek Road,-135.259237,57.037171
2810,Sawmill Creek Road,-135.256884,57.035695
101,Peace Lane,-135.257263,57.03726
2620,Sawmill Creek Road,-135.258481,57.038022
104,Peace Lane,-135.257287,57.037896
2614,Sawmill Creek Road,-135.258227,57.038426
2616,Sawmill Creek Road,-135.257243,57.038482
2613,Sawmill Creek Road,-135.257053,57.039049
100,Peace Lane,-135.256664,57.037983
2802,Sawmill Creek Road,-135.256214,57.037273
2800,Sawmill Creek Road,-135.256562,57.036612
2710,Sawmill Creek Road,-135.256467,57.037419
2908,Sawmill Creek Road,-135.253758,57.034668
2904,Sawmill Creek Road,-135.254292,57.034686
2840,Sawmill Creek Road,-135.255511,57.035837
2898,Sawmill Creek Road,-135.255224,57.034763
2950,Sawmill Creek Road,-135.254119,57.033982
2906,Sawmill Creek Road,-135.254103,57.034905
2818,Sawmill Creek Road,-135.254679,57.035636
2902,Sawmill Creek Road,-135.254064,57.035128
2814,Sawmill Creek Road,-135.254927,57.036
2957,Sawmill Creek Road,-135.249791,57.033752
5216,Halibut Point Road,-135.381335,57.126098
5218,Halibut Point ROAD,-135.380884,57.126281
3900,Halibut Point Road,-135.398767,57.103354
3898,Halibut Point Road,-135.398432,57.103591
3896,Halibut Point Road,-135.397995,57.10367
803,Sawmill Creek Road,-135.324286,57.055004
865,Sawmill Creek Road,-135.322102,57.054185
861,Sawmill Creek Road,-135.322495,57.054352
863,Sawmill Creek Road,-135.322459,57.054491
1540,Sawmill Creek Road,-135.29808,57.047302
2960,Sawmill Creek Road,-135.251477,57.032948
4804,Halibut Point ROAD,-135.385547,57.119281
327,Seward Street,-135.334632,57.05159
3406,Halibut Point Road,-135.393151,57.095591
3408,Halibut Point Road,-135.392882,57.095751
3410,Halibut Point Road,-135.392139,57.096283
3418,Halibut Point Road,-135.392362,57.096516
3416,Halibut Point Road,-135.392749,57.096424
3412,Halibut Point Road,-135.39356,57.096105
3414,Halibut Point Road,-135.393104,57.096258
3410,Halibut Point Road,-135.391832,57.095978
200,Monastery Street,-135.331663,57.051998
604,Etolin Street,-135.329794,57.052028
1209,Sawmill Creek Road,-135.310523,57.048826
1215,Sawmill Creek Road,-135.310038,57.049601
1209,Sawmill Creek Road,-135.309962,57.049108
1209,Sawmill Creek Road,-135.309689,57.049356
2702,Halibut Point Road,-135.380902,57.086024
2500,Halibut Point Road,-135.376187,57.081201
216,Gavan Street,-135.344393,57.059682
432,Kaagwaantaan Street,-135.343311,57.053064
432,Kaagwaantaan Street,-135.343425,57.053097
701,Indian River Road,-135.31042,57.056896
107,Littlebyrd Way,-135.398271,57.106713
105,Littlebyrd Way,-135.397723,57.106536
103,Littlebyrd Way,-135.398617,57.106596
202,Indian River Road,-135.317254,57.054442
495,Indian River Road,-135.314259,57.055262
1320,Cannon Island Drive,-135.304215,57.044422
1321,Cannon Island Drive,-135.303569,57.044407
1323,Cannon Island Drive,-135.301444,57.04369
1324,Cannon Island Drive,-135.301716,57.043197
1326,Cannon Island Drive,-135.301572,57.042738
1328,Cannon Island Drive,-135.300691,57.04271
101,Toivo Circle,-135.394416,57.096888
114,Toivo Circle,-135.393697,57.097664
107,Toivo Circle,-135.394195,57.097423
105,Toivo Circle,-135.394192,57.0972
3510,Halibut Point Road,-135.394614,57.097064
100,Rudolph Walton Circle,-135.31325,57.057151
101,Rudolph Walton Circle,-135.313965,57.057125
103,Rudolph Walton Circle,-135.314111,57.057334
103,Charlie Joseph Street,-135.314529,57.056991
101,Charlie Joseph Street,-135.314927,57.056912
100,Charlie Joseph Street,-135.314485,57.056512
102,Charlie Joseph Street,-135.314111,57.05658
104,Charlie Joseph Street,-135.313732,57.056737
106,Charlie Joseph Street,-135.313233,57.056745
108,Charlie Joseph Street,-135.312798,57.056785
107,Peter Simpson Road,-135.312883,57.056391
105,Peter Simpson Road,-135.312866,57.056152
104,Andrew Hope Street,-135.31364,57.055722
106,Andrew Hope Street,-135.313877,57.055952
108,Andrew Hope Street,-135.314092,57.056096
110,Andrew Hope Street,-135.314244,57.056284
113,Andrew Hope Street,-135.315506,57.056614
111,Andrew Hope Street,-135.315208,57.056375
109,Andrew Hope Street,-135.314959,57.056201
107,Andrew Hope Street,-135.314693,57.055976
105,Andrew Hope Street,-135.314478,57.055818
103,Andrew Hope Street,-135.314247,57.055543
105,Kaasda Heen Circle,-135.316992,57.053847
107,Kaasda Heen Circle,-135.317337,57.053687
400,Indian River Road,-135.314784,57.05479
200,Flume Circle,-135.315998,57.053921
101,Peter Simpson Road,-135.312451,57.055685
100,Andrew Hope Street,-135.313155,57.055395
102,Andrew Hope Street,-135.313296,57.055587
101,Andrew Hope Street,-135.313982,57.055319
600,Indian River Road,-135.3117,57.055483
500,Indian River Road,-135.312586,57.055046
800,Indian River Road,-135.309196,57.056767
700,Indian River Road,-135.310158,57.056286
203,Vitskari Street,-135.300826,57.049158
1547,Sawmill Creek Road,-135.29856,57.047716
312,Jarvis Street,-135.307407,57.053466
1533,Sawmill Creek Road,-135.299649,57.04835
206,Lance Drive,-135.301153,57.049458
201,Vitskari Street,-135.300826,57.048914
104,Jarvis Street,-135.311915,57.049727
106,Eagle Way,-135.308181,57.047134
101,Jarvis Street,-135.312674,57.050601
1211,Sawmill Creek Road,-135.310963,57.048778
1207,Sawmill Creek Road,-135.311436,57.049411
1302,Sawmill Creek Road,-135.31025,57.048007
1306,Sawmill Creek Road,-135.309425,57.047835
1304,Sawmill Creek Road,-135.309866,57.047308
1213,Sawmill Creek Road,-135.310359,57.048568
108,Eagle Way,-135.308533,57.047105
110,Eagle Way,-135.308774,57.047263
214,Smith Street,-135.307266,57.050133
201,Jarvis Street,-135.310761,57.050532
205,Jarvis Street,-135.310434,57.051619
105,Jarvis Street,-135.312638,57.049905
215,Smith Street,-135.30857,57.050489
110,Jarvis Street,-135.310735,57.050024
202,Jarvis Street,-135.309482,57.050414
201,Smith Street,-135.308836,57.049616
107,Smith Street,-135.3094,57.049397
213,Smith Street,-135.308408,57.049968
1204,Beardslee Way,-135.308064,57.051906
301,Jarvis Street,-135.309492,57.052416
209,Jarvis Street,-135.309723,57.051978
302,Jarvis Street,-135.308675,57.052207
212,Jarvis Street,-135.309073,57.051808
210,Jarvis Street,-135.308513,57.051447
309,Jarvis Street,-135.308403,57.053585
305,Jarvis Street,-135.308784,57.053141
310,Jarvis Street,-135.307466,57.053233
304,Jarvis Street,-135.307881,57.052606
306,Jarvis Street,-135.307777,57.052932
308,Jarvis Street,-135.30795,57.053118
216,Smith Street,-135.307385,57.050349
218,Smith Street,-135.307322,57.050699
220,Smith Street,-135.307134,57.05099
222,Smith Street,-135.306945,57.051298
337,Lincoln Street,-135.3338,57.050947
407,Etolin Way,-135.332355,57.052074
405,Etolin Way,-135.332579,57.051932
406,Etolin Way,-135.331992,57.051676
404,Etolin Way,-135.332399,57.051781
408,Etolin Way,-135.331913,57.051867
403,Etolin Way,-135.332803,57.051799
101,Lake Street,-135.333058,57.051246
104,Lake Street,-135.332748,57.051512
208,Lake Street,-135.33355,57.051977
210,Lake Street,-135.333694,57.052107
402,Etolin Way,-135.332653,57.0517
206,Lake Street,-135.333227,57.051846
302,Monastery Street,-135.331965,57.052906
300,Monastery Street,-135.33196,57.052714
205,Monastery Street,-135.332149,57.052198
207,Monastery Street,-135.332158,57.052443
408,Oja Way,-135.332768,57.05241
410,Oja Way,-135.33249,57.052405
402,Baranof Street,-135.330796,57.054058
608,Degroff Street,-135.329989,57.054463
601,Merrill Street,-135.330729,57.05543
503,Baranof Street,-135.33147,57.055314
507,Baranof Street,-135.331411,57.055464
513,Baranof Street,-135.331357,57.055771
506,Baranof Street,-135.330871,57.055499
509,Baranof Street,-135.331347,57.05557
504,Baranof Street,-135.330969,57.055217
603,Degroff Street,-135.330844,57.054889
502,Baranof Street,-135.331111,57.055005
609,Degroff Street,-135.330077,57.054816
611,Degroff Street,-135.329833,57.054795
605,Degroff Street,-135.330597,57.054861
602,Merrill Street,-135.330742,57.055167
604,Merrill Street,-135.330456,57.055212
606,Merrill Street,-135.330216,57.055188
607,Degroff Street,-135.330337,57.05483
506,Highland Street,-135.331931,57.055478
504,Highland Street,-135.331967,57.055315
415,Baranof Street,-135.331559,57.054664
402,Monastery Street,-135.332377,57.053894
408,Monastery Street,-135.332556,57.054245
407,Monastery Street,-135.332854,57.054071
401,Monastery Street,-135.33274,57.05371
406,Monastery Street,-135.332524,57.054077
404,Monastery Street,-135.332513,57.053913
405,Monastery Street,-135.332806,57.053934
410,Monastery Street,-135.332444,57.054399
501,Baranof Street,-135.331446,57.055029
509,Degroff Street,-135.331896,57.054986
404,Baranof Street,-135.33084,57.054192
606,Degroff Street,-135.330247,57.054496
408,Baranof Street,-135.330938,57.054444
406,Baranof Street,-135.33089,57.054327
600,Degroff Street,-135.330972,57.054564
604,Degroff Street,-135.330588,57.054617
413,Baranof Street,-135.331541,57.054513
414,Hollywood Way,-135.333606,57.054518
411,Monastery Street,-135.333094,57.05431
413,Monastery Street,-135.33298,57.054502
419,Monastery Street,-135.333225,57.054849
415,Monastery Street,-135.333023,57.054612
417,Monastery Street,-135.333261,57.054728
410,Hollywood Way,-135.333606,57.054184
505,Degroff Street,-135.332383,57.055052
500,Monastery Street,-135.332764,57.055095
409,Monastery Street,-135.332905,57.05422
503,Highland Street,-135.332367,57.055281
601,Degroff Street,-135.331086,57.054909
611,Oja Street,-135.328921,57.052939
